V161003,V161086,V161087,V161088,V161089,V161090,V161091,V161092,V161093,V161094,V161095,V161096,V161109,V161126,V161134A,V161178,V161181,V161184,V161187,V161189,V161198,V161201,V161295,V161361X,V162096,V162097,V162098,V162099,V162100,V162101,V162105
4,0,0,50,-89,50,-89,40,0,-89,50,60,2,4,-8,4,4,6,3,6,5,4,55,23,50,50,40,50,50,50,60
1,0,100,50,50,70,60,0,15,50,30,70,2,5,-1,4,4,5,3,3,1,3,40,20,0,15,40,70,70,70,70
4,85,0,-89,-88,-89,-89,0,-88,-88,100,-88,2,99,-1,6,6,6,3,4,7,5,-1,1,50,50,100,70,60,60,30
3,30,0,-89,-89,-89,-89,40,50,50,40,15,5,4,-1,5,6,4,3,4,5,4,40,1,50,60,40,70,40,40,40
2,85,40,-88,-89,-88,-88,85,85,-89,70,70,0,4,56,4,5,4,1,5,4,4,-1,11,60,70,60,60,70,70,998
1,0,100,0,0,0,85,0,0,0,0,100,0,4,-1,3,7,4,3,7,7,4,25,13,50,0,85,100,100,85,70
1,30,30,50,50,-89,-89,60,15,50,60,40,2,4,60,5,2,1,1,3,3,1,30,25,60,100,100,85,0,0,0
4,50,15,40,-89,70,60,85,70,-89,60,50,1,4,60,4,4,4,1,4,4,3,20,25,70,70,70,100,60,60,40
2,40,0,85,40,50,50,85,70,50,65,35,3,1,-1,7,1,1,3,2,3,1,-1,3,90,90,65,90,20,30,15
4,30,30,50,50,60,50,60,15,50,40,60,2,99,40,4,5,99,1,5,99,99,-1,7,60,50,50,50,60,60,50
1,0,70,-89,-89,-89,85,15,30,-89,40,85,0,7,-1,2,7,5,3,5,4,6,-1,3,50,50,30,100,70,100,100
2,0,60,60,-88,-89,-89,0,0,-89,30,70,1,5,-1,1,7,2,3,5,7,1,43,18,70,60,85,85,85,85,85
2,70,0,60,85,85,0,100,60,50,85,0,1,2,-1,4,2,1,1,4,4,1,60,16,100,100,50,100,15,50,50
1,0,60,50,50,40,70,0,50,-88,50,60,0,6,-4,4,5,5,3,4,4,6,-1,5,40,40,60,70,70,85,60
1,85,0,60,-89,80,0,85,100,-89,90,20,1,1,-1,6,2,1,1,1,99,2,48,-9,-6,-6,-6,-6,-6,-6,-6
3,15,60,-89,-89,-89,-89,30,30,-89,50,50,0,99,-1,99,99,99,3,99,5,99,-1,5,50,50,50,70,50,50,50
4,85,15,-89,-89,-88,-89,85,100,-89,70,30,0,5,-1,5,3,99,1,2,1,99,40,5,15,85,50,85,70,70,70
2,70,0,40,40,50,30,85,70,-89,60,15,4,2,37,5,3,2,1,4,1,2,40,15,85,85,85,85,30,998,50
4,30,70,-89,-89,-89,-89,50,40,-89,50,60,2,4,40,99,5,99,3,7,7,99,40,11,-6,-6,-6,-6,-6,-6,-6
2,0,60,-88,-88,60,60,50,30,-89,15,40,0,6,40,4,5,6,3,5,5,7,-1,1,-6,-6,-6,-6,-6,-6,-6
2,70,0,50,60,70,-89,85,60,50,85,30,0,5,-1,99,3,4,1,3,4,1,8,14,70,50,70,-9,30,70,50
1,60,30,-89,-89,50,0,70,60,-89,85,0,2,3,-1,6,1,1,3,4,7,4,45,21,40,50,50,50,40,40,15
4,85,0,-89,-89,-89,-89,85,85,-89,100,50,1,5,-1,4,4,7,3,4,-8,99,-1,2,100,85,85,100,85,85,85
1,85,0,50,50,50,0,100,85,50,85,15,3,2,63,6,6,2,1,4,3,2,44,26,100,100,30,100,50,70,70
